id,regency_id,nama_sekolah
1,3602,20601828 - SDN 2 SUKAMULYA
2,3602,60721132 - MIs Darun Nadwah Cikopo
3,3602,60721143 - MIS Mathlaul Anwar Kandangsapi
4,3602,20601642 - SDN 2 MUNCANGKOPONG
5,3602,69895035 - MIS MA. Cikarang
6,3602,20601649 - SDN 3 JAYAMANIK 
7,3602,69894721 - Nurul Hasanah
8,3602,20601658 - SDN 4 MEKARJAYA 
9,3602,20601996 - SDN 3 SITUREGEN 
10,3602,69895471 - MIS Mabdail Falah
11,3602,20616357 - SMPN 4 CIBADAK
12,3602,20622663 - MTSS NURUL ISLAM
13,3602,20622704 - MTSS DAAR EL-AZHAR 
14,3602,20613647 - SMAS DAAR EL KARIM MALINGPING
15,3602,69881512 - MAS ANWARUL MASALIK PASIRRANJI MALINGPING
16,3601,69881921 - MIS Nurul Hikmah Cihanjuang
17,3601,20600337 - SD N KARANGBOLONG 04
18,3601,20601185 - SD N JIPUT 02
19,3601,20601139 - SD N CIKUMBUEUN 03
20,3601,20601338 - SD N GUNUNGSARI 2
21,3601,20601153 - SD N CIMOYAN 1
22,3601,20601196 - SD N KADUDAMPIT 1
23,3601,69881700 - MTSS AL-ITTIHAD
24,3601,69941495 - MTSS NAZZATHUL INSANI
25,3601,20615160 - SMP N 3 JIPUT
26,3601,20615039 - SMP NEGERI 5 MANDALAWANGI 
27,3601,69822450 - MTSS TURUS 
28,3601,60726784 - SMPS SUBIS
29,3601,20607620 - MTSS RINA HASANAH
30,3601,20600903 - MTSS MATHLAUL ANWAR CIBAGOLO
31,3601,20600980 - MAS NURUL FALAH
32,3601,20622328 - MAS DAARUL HASAN
33,3601,69894899 - MAS PLUS DARUL HUDA CIKONENG
34,3601,69970551 - SMK IT BANI ISMAIL
35,3601,20600958 - MAS DAAR EL MAARIF
36,3604,20605029 - SD NEGERI PALAMAKAN 02
37,3604,20604699 - SD NEGERI RAGAS 2
38,3604,20606038 - SD NEGERI CARENANG 1
39,3604,20615173 - SD NEGERI CIMIUNG 1
40,3604,20604906 - SD NEGERI NAGREG
41,3604,20604731 - SD NEGERI PATAPAN
42,3604,20605856 - SD NEGERI GABUS 3
43,3604,20604756 - SD NEGERI PEMATANG 3
44,3604,20605913 - SD NEGERI KEPUH 2
45,3604,20605562 - SD IT BINA INSANI
46,3604,20605156 - SMP NEGERI 2 ANYAR
47,3604,20605077 - SMP PGRI BOJONEGARA
48,3604,20615476 - SMPS YASSHOFI CIKANDE
49,3604,20622865 - MTSS AL-KHAIRIYAH SINDANGLAYA
50,3604,20622873 - MTSS KHAIRUL HUDA
51,3604,20615202 - SMP NEGERI 1 GUNUNGSARI
52,3604,20622925 - MTSN 5 SERANG
53,3604,20614086 - MAS MATHLAB EL AWWAM CIKANDE
54,3604,20605104 - SMAN 1 CIRUAS
55,3604,20605105 - SMAN 1 JAWILAN
56,3604,20623391 - MAS MIFTAHUN NAJAH LAMONGAN
57,3604,70004823 - SMA GLOBAL INDONESIA
58,3604,20605100 - SMAN 1 PAMARAYAN
59,3603,20603040 - SD NEGERI PAJAJARAN
60,3603,20604400 - SD N CURUG WETAN II
61,3603,20603437 - SD NEGERI TAMIANG 2
62,3603,20603438 - SD NEGERI TAMIANG 3
63,3603,20602820 - SD NEGERI RANCABUAYA II
64,3603,20604368 - SD N CIRARAB II
65,3603,20602998 - SD NEGERI MAUK II
66,3603,20604261 - SD N CIAKAR
67,3603,60721291 - MIS MIFTAHUL ULUM KARANG TENGAH
68,3603,20616092 - SDS WASILATUL UMMAH
69,3603,69753875 - MIS RAUDHATUL IRFAN LAKSANA
70,3603,20603500 - SD NEGERI SUKAMANAH 01
71,3603,69752538 - MIS NURUL FALAH CEGER
72,3603,69894726 - MATHLAUL ANWAR SANGIANG
73,3603,20603489 - SDN SINDANGSONO VI
74,3603,70008999 - SD QURAN AL MUWAFFAQ
75,3603,20604229 - SD N BUNAR 1
76,3603,20613507 - SMP NEGERI 1 GUNUNG KALER
77,3603,20603127 - SMP NEGERI 1 RAJEG
78,3603,20622280 - SMPS BHAKTI PERTIWI
79,3603,20616009 - SMPS TEKNOLOGI PILAR BANGSA
80,3603,20603644 - SMP BINA PUTRA
81,3603,69859750 - SMPS PUTRA RIFARA
82,3603,70029787 - SMP PLUS AL MUNIROH
83,3603,20616158 - SMAS MUTIARA BANGSA
84,3603,20622274 - SMKS PERMATA KEMIRI
85,3603,20622422 - MAS EL-SYARIEF
86,3603,20613766 - SMAS IMTEK
87,3603,20613588 - SMAS PARAHYANGAN
88,3603,69754484 - SMKS UMUM NABILA
89,3603,69759222 - SMKS AL-HASYIMIYAH
90,3603,20622442 - MAS DAARUL MUQIMIEN
91,3673,20605588 - SD NEGERI BANJAR AGUNG 4
92,3673,20604930 - SD NEGERI KUBANG KEMIRI
93,3673,20605024 - SD NEGERI PAGERAGUNG
94,3673,69881364 - SMP IHSAN CERDAS MANDIRI
95,3673,20614034 - SMP NEGERI 21 KOTA SERANG
96,3673,20605192 - SMP PLUS NURUL MAARIF
97,3673,20605075 - SMP PGRI 2 SERANG
98,3673,20616188 - SMKS AL BANA TAKTAKAN KOTA SERANG
99,3673,69963564 - MAS ATTAUFIQIYAH
100,3671,20607275 - SD NEGERI CIBODAS 8
101,3671,20606448 - SD NEGERI SUDIMARA TIMUR 4
102,3671,20606629 - SD NEGERI PORIS PELAWAD 3
103,3671,20607180 - SD NEGERI GONDRONG 3
104,3671,20607025 - SD FELLYCIA
105,3671,20607308 - SDS YAKMI
106,3671,20606864 - SMP AN NURMANIYAH
107,3671,20606699 - SMP MUTIARA BANGSA
