id,nama_perguruan,regency_id,
1,AKADEMI KOMUNITAS NEGERI ACEH BARAT,1107,
2,AKADEMI FARMASI CENDIKIA FARMA HUSADA,1871,
3,AKTEK RADIODIAGNOSTIK & RADIOTERAPI PATRIOT BANGSA,1871,
4,INSTITUT MARITIM PRASETIYA MANDIRI,1871,
5,STIT DARUL FATTAH BANDAR LAMPUNG,1871,
6,POLITEKNIK INDONESIA VENEZUELA,1108,
7,STAI TAPAKTUAN ACEH SELATAN,1103,
8,SEKOLAH TINGGI ILMU PERTANIAN YASHAFA,1102,
9,UNIVERSITAS MUHAMMADIYAH LUWUK,7202,
10,AKADEMI KEBIDANAN SUNGAILIAT BANGKA,1901,
11,STT PERMATA BANGSA BARITO,6212,
12,SEKOLAH TINGGI ILMU EKONOMI MUARA TEWEH,6205,
13,AKADEMI KEPERAWATAN YPSBR MUARA BULIAN,1504,
14,UNIVERSITAS PELITA BANGSA,3216,
15,POLITEKNIK DARMA GANESHA,1902,
16,AMIK MITRA GAMA,1408,
17,UNIVERSITAS RATU SAMBAN,1703,
18,UNIVERSITAS MUHAMMADIYAH BERAU,6405,
19,SEKOLAH TINGGI AGAMA ISLAM NEGERI SULTAN ABDURRAHMAN KEPULAUAN RIAU ,2102,
20,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAM PERSATUAN UMAT ISLAM BOGOR JAWA BARAT,3201,
21,"STAI AL-AZHARY CIANJUR, JAWA BARAT",3203,
22,AKADEMI KEBIDANAN GRAHA HUSADA CIREBON,3209,
23,POLITEKNIK NEGERI CILACAP,3301,
24,STKIP AL AMIN DOMPU,5205,
25,STKIP YAPIS DOMPU,5205,
26,STT GEREJA PROTESTAN INDONESIA (GPI) PAPUA,9101,
27,SEKOLAH TINGGI PENYULUHAN PERTANIAN GOWA ,7306,
28,STAI GROBOGAN JAWA TENGAH,3315,
29,POLITEKNIK PERDAMAIAN HALMAHERA,8205,
30,SEKOLAH TINGGI TEOLOGI GEREJA KRISTEN LUTHER INDONESIA,1215,
31,"SEKOLAH TINGGI TEOLOGI BAPTIS PAPUA, ABEPURA",9403,
32,STT GEREJA INJILI DI INDONESIA,9403,
33,STKIP KRISTEN WAMENA,9402,
34,INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH BALI,5101,
35,AKADEMI MANAJEMEN INFORMATIKA DAN KOMPUTER JOMBANG,3517,
36,POLITEKNIK LENGGURU,9102,
37,"STAI KUALA KAPUAS, KALIMANTAN TENGAH",6203,
38,UNIVERSITAS MUHAMMADIYAH KARANGANYAR,3313,
39,SEKOLAH TINGGI ILMU KESEHATAN HORIZON KARAWANG,3215,
40,SEKOLAH TINGGI TEOLOGI DIAN EKA SABDA KALIMANTAN TENGAH,6209,
41,STT INJILI SETIA SIAU,7108,
42,STIKES PANCA ATMA JAYA,5105,
43,INSTITUT TEKNOLOGI AL MAWADDAH WARRAHMAH KOLAKA,7404,
44,"STIT DARUL ULUM KOTABARU, KALIMANTAN SELATAN",6302,
45,STIKES BORNEO CENDEKIA MEDIKA,6201,
46,AKADEMI KOMUNITAS BPPMNU BANAT,3319,
47,SEKOLAH TINGGI ILMU KESEHATAN KUNINGAN,3208,
48,INSTITUT AGAMA ISLAM AN NUR LAMPUNG,1803,
49,UNIVERSITAS MUHAMMADIYAH KOTABUMI,1806,
50,STAI NURUL HIDAYAH LEBAK BANTEN,3602,
51,SEKOLAH TINGGI ILMU EKONOMI LA TANSA MASHIRO,3602,
52,STIT AL-AZIZIYAH KAPEK GUNUNGSARI LOMBOK BARAT NUSA TENGGARA,5201,
53,INSTITUT AGAMA ISLAM QOMARUL HUDA BAGU PARINGGATA LOMBOK TENGAH,5202,
54,POLITEKNIK SELAPARANG LOMBOK,5203,
55,SEKOLAH TINGGI AGAMA ISLAM SYUBBANUL WATHON MAGELANG,3308,
56,SEKOLAH TINGGI ILMU KESEHATAN KEPANJEN,3507,
57,SEKOLAH TINGGI ILMU SOSIAL ILMU POLITIK KEBANGSAAN,8103,
58,SEKOLAH TINGGI ILMU EKONOMI SAUMLAKI -> UNIVERSITAS LELEMUKU SAUMLAKI,8101,
59,SEKOLAH TINGGI TEOLOGI ARASTAMAR MAMASA,7603,
60,SEKOLAH TINGGI ILMU TARBIYAH (STIT) AL-CHAERIYAH MAMUJU SULAWESI BARAT,7604,
61,"STIT DDI PASANGKAYU, MAMUJU, SULAWESI BARAT",7605,
62,INSTITUT AGAMA ISLAM SYEKH MAULANA QORI BANGKO,1502,
63,STIE YA BANGKO,1502,
64,UNIVERSITAS MUSAMUS MERAUKE,9401,
65,SEKOLAH TINGGI TEOLOGI FILADELFIA LANGOWAN,7102,
66,POLITEKNIK SEKAYU,1606,
67,UNIVERSITAS SRIWIJAYA,1610,
68,SEKOLAH TINGGI ILMU TARBIYAH MANGGALA ,1610,
69,UNIVERSITAS BATURAJA,1601,
70,STMIK MUARA DUA,1608,
71,AKADEMI KOMUNITAS NEGERI PACITAN,3501,
72,INSTITUT TEKNOLOGI DAN SAINS PADANG LAWAS UTARA,1220,
73,SEKOLAH TINGGI ILMU ADMINISTRASI BANTEN,3601,
74,STAI YAPTIP SIMPANG EMPAT PASAMAN BARAT,1312,
75,AKADEMI ANALIS KESEHATAN PEKALONGAN,3326,
76,SEKOLAH TINGGI ILMU EKONOMI DAN BISNIS INSAN MADANI MANDAR,7602,
77,UNIVERSITAS SINTUWU MAROSO POSO,7204,
78,UNIVERSITAS PAT PETULAI,1702,
79,STAI AR-RIDHO BAGANSIAPIAPI,1409,
80,UNIVERSITAS PASIR PENGARAIAN,1407,
81,POLITEKNIK NEGERI SAMBAS,6101,
82,SEKOLAH TINGGI AGAMA BUDDHA SYAILENDRA,3322,
83,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN SERAM RAYA,8106,
84,STKIP HUNIMUA,8107,
85,POLITEKNIK KELAUTAN DAN PERIKANAN SIDOARJO,3515,
86,UNIVERSITAS NUSA NIPA,5310,
87,UNIVERSITAS MUHAMMADIYAH SINJAI,7307,
88,"STAI MA`ARIF SINTANG, KALIMANTAN BARAT",6107,
89,INSTITUT PERTANIAN (INTAN) YOGYAKARTA,3404,
90,SEKOLAH TINGGI TEOLOGI GALILEA INDONESIA,3404,
91,STIKES GUNA BANGSA YOGYAKARTA,3404,
92,SEKOLAH TINGGI ILMU EKONOMI EL HAKIM,1303,
93,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER AMIKA SOPPENG,7312,
94,UNIVERSITAS ISLAM NEGERI RADEN MAS SAID SURAKARTA ,3311,
95,STKIP PARACENDEKIA N W SUMBAWA,5204,
96,UNIVERSITAS SAMAWA,5204,
97,STAI SEBELAS APRIL SUMEDANG,3211,
98,UNIVERSITAS KH. BAHAUDIN MUDHARY MADURA,3529,
99,AKADEMI KEBIDANAN SINAR KASIH TORAJA,7318,
100,AKADEMI TEKNIK PRATAMA MAKALE,7318,
101,UNIVERSITAS KRISTEN INDONESIA TORAJA,7318,
102,STIKES DARUL AZHAR BATULICIN,6310,
103,UNIVERSITAS ISLAM NEGERI MAHMUD YUNUS BATUSANGKAR,1305,
104,AKADEMI PARIWISATA NUSANTARA TANGERANG,3603,
105,INSTITUT AGAMA ISLAM TEBO,1508,
106,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAM TANGGAMUS LAMPUNG,1802,
107,UNIVERSITAS SUNAN BONANG,3523,
108,SEKOLAH TINGGI AGAMA ISLAM KH. MUHAMMAD ALI SHODIQ ,3504,
109,UNIVERSITAS TULUNGAGUNG,3504,
110,POLITEKNIK ILMU PELAYARAN BALIKPAPAN,6471,
111,AKADEMI TEKNIK RADIODIAGNOSTIK DAN RADIOTERAPI YAYASAN SIHAT BEURATA ,1171,
112,SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH ACEH,1171,
113,AKADEMI FARMASI CENDIKIA FARMA HUSADA,1871,
114,AKTEK RADIODIAGNOSTIK & RADIOTERAPI PATRIOT BANGSA,1871,
115,INSTITUT MARITIM PRASETIYA MANDIRI,1871,
116,STIT DARUL FATTAH BANDAR LAMPUNG,1871,
117,POLITEKNIK KESEHATAN TNI-AU CIUMBULEUIT,3273,
118,POLITEKNIK MANUFAKTUR BANDUNG,3273,
119,SEKOLAH TINGGI TEKNOLOGI TEKSTIL BANDUNG,3273,
120,AKADEMI KEBIDANAN YAPKESBI BANJARBARU,6372,
121,STMIK INDONESIA BANJARMASIN,6371,
122,UNIVERSITAS ISLAM KALIMANTAN MUHAMMAD ARSYAD AL BANJARI BANJARMASIN,6371,
123,AKADEMI BAHASA ASING PERMATA HARAPAN,2171,
124,SEKOLAH TINGGI ILMU EKONOMI GALILEO,2171,
125,STIDKI AL-AZIZ BATAM,2171,
126,STT IKAT DI BATAM,2171,
127,UNIVERSITAS MUHAMMADIYAH BUTON,7472,
128,STIKES IST BUTON,7472,
129,STKIP PELITA NUSANTARA BUTON,7472,
130,SEKOLAH TINGGI TEOLOGI ARASTAMAR BENGKULU,1771,
131,STIKES BHAKTI HUSADA BENGKULU,1771,
132,AKADEMI KEBIDANAN KHARISMA HUSADA BINJAI,1276,
133,SEKOLAH TINGGI ILMU EKONOMI PETRA,7172,
134,SEKOLAH TINGGI PARIWISATA BOGOR,3271,
135,SEKOLAH TINGGI ILMU ADMINISTRASI CIMAHI,3277,
136,UNIVERSITAS JENDERAL ACHMAD YANI,3277,
137,INSTITUT  SAINS DAN TEKNOLOGI NAHDLATUL ULAMA BALI,5171,
138,POLITEKNIK KESEHATAN KARTINI BALI,5171,
139,UNIVERSITAS HINDU INDONESIA,5171,
140,UNIVERSITAS MAHENDRADATTA,5171,
141,POLITEKNIK NEGERI JAKARTA,3276,
142,STAI MADINATUL ILMI DEPOK,3276,
143,AKADEMI KEPERAWATAN SRI BUNGA TANJUNG,1473,
144,STMIK DUMAI,1473,
145,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER ICHSAN GORONTALO,7571,
146,UNIVERSITAS BINA MANDIRI GORONTALO,7571,
147,UNIVERSITAS BINA TARUNA GORONTALO,7571,
148,UNIVERSITAS NIAS,1278,
149,MAHAD ALY SA'IDUSSHIDDIQIYAH,3174,
