id,country_id,nama_sekolah
1,1,90101056 - SEKOLAH INDONESIA MAKKAH TINGKAT SMP
2,1,90101016 - SEKOLAH INDONESIA JEDDAH TINGKAT SMA
3,1,90101190 - SEKOLAH INDONESIA MAKKAH TINGKAT SMA
4,2,9LN01036 - CLC 25 LADANG CEPAT - KPD
5,2,69971941 - CLC Kim Loong
6,2,9LN01014 - CLC CERDAS
7,2,9LN01138 - CLC SD CEMPAKA
8,2,9LN01039 - CLC NUSA BANGSA
9,2,9LN01126 - CLC LADANG TAMACO
10,2,9LN01043 - CLC ARUS SAWIT
11,2,9LN01150 - CLC LADANG SUNGAI BALIM
12,2,9LN01152 - CLC LADANG 3 SPAD
13,2,69981513 - CLC SD INDRA SABAH
14,2,69981514 - CLC SD BUKIT TAJAM
15,2,9LN01068 - CLC 34 LADANG SUNGAI KAWA
16,2,9LN01098 - CLC SUNGAI BALUNG
17,2,9LN01105 - LC SYARIMO
18,2,9LN01106 - LC BOMBALAI
19,2,9LN01107 - LC  SUNGAI MENANGGOL
20,2,9LN01109 - LC GENTING MEWAH
21,2,9LN01158 - CLC KERTAM SEPAGAYA
22,2,90101019 - SEKOLAH SI KUALA LUMPUR TINGKAT SMA
23,3,90101030 - SEKOLAH SI YANGON TINGKAT SMP
24,3,90101031 - SEKOLAH SI YANGON TINGKAT SMA
